feature,null,macro_auc,ci_lo,ci_hi,perm_z,perm_p,n_above_half,n_below_half,n_regions,sign_p_two_sided,passes_3sigma,passes_bonferroni,per_region_aucs
b,null_A,0.7223536737235369,0.36706102117061024,1.0,3.4056486581599446,0.0006600706601573858,2,1,3,1.0,False,False,"[0.8, 1.0, 0.36706102117061024, nan]"
b,null_B,0.4432541980312681,0.4432541980312681,0.4432541980312681,-0.8744160582961403,0.3818917153909105,0,0,1,,False,False,"[nan, nan, 0.4432541980312681, nan]"
b_drift_per_day,null_A,0.35119047619047616,0.25,0.4523809523809524,-2.238393194151573,0.025195425468735655,0,2,2,0.5,False,False,"[0.25, nan, 0.4523809523809524, nan]"
b_drift_per_day,null_B,0.5166040100250626,0.5166040100250626,0.5166040100250626,0.21540773400723184,0.8294494406721595,0,0,1,,False,False,"[nan, nan, 0.5166040100250626, nan]"
benioff_total_log10,null_A,0.5050812687687688,0.4654027777777777,0.5544097222222222,0.19888918095440977,0.8423494327974608,2,2,4,1.0,False,False,"[0.5072972972972973, 0.5822222222222222, 0.4598333333333333, 0.47097222222222224]"
benioff_total_log10,null_B,0.5308237612612612,0.490375,0.5712725225225225,1.188421466355903,0.23466740331511815,2,2,4,1.0,False,False,"[0.5533783783783783, 0.5891666666666666, 0.49616666666666664, 0.4845833333333333]"
benioff_curv,null_A,0.5087456831831831,0.43909722222222225,0.5783941441441441,0.3553337698733205,0.722339559300379,2,2,4,1.0,False,False,"[0.5366216216216216, 0.43041666666666667, 0.6201666666666666, 0.4477777777777778]"
benioff_curv,null_B,0.5058070570570571,0.4322222222222222,0.5921875000000001,0.23483120380030992,0.8143397477260206,2,2,4,1.0,False,False,"[0.5187837837837838, 0.4156944444444444, 0.64, 0.44875]"
n_above_mc,null_A,0.5143271396396396,0.4789236111111111,0.5615146396396397,0.27239972578562194,0.7853146835223321,2,2,4,1.0,False,False,"[0.4918918918918919, 0.5847222222222223, 0.4675, 0.5131944444444444]"
n_above_mc,null_B,0.5412072072072073,0.49699774774774774,0.5888738738738739,1.3253290411737646,0.1850620408235819,2,2,4,1.0,False,False,"[0.49716216216216214, 0.6194444444444445, 0.49683333333333335, 0.5513888888888889]"
