region,window_kind,n,n_b_finite,frac_b_finite,n_above_mc_p25,n_above_mc_med,n_above_mc_p75,b_med,b_iqr_lo,b_iqr_hi
California,precursor,37,1,0.02702702702702703,1.0,4.0,5.0,1.654805392518745,1.654805392518745,1.654805392518745
California,null_A,200,5,0.025,2.0,3.0,6.25,0.8333182829915148,0.7882742308517923,0.8333182829915148
California,null_B,200,0,0.0,2.0,3.0,6.0,,,
Cascadia,precursor,36,1,0.027777777777777776,2.0,5.0,7.0,0.6719323326015388,0.6719323326015388,0.6719323326015388
Cascadia,null_A,200,2,0.01,2.0,3.5,6.0,0.6649484890384724,0.6649484890384724,0.6649484890384724
Cascadia,null_B,200,0,0.0,2.0,3.0,5.0,,,
Italy,precursor,36,0,0.0,3.0,4.0,6.0,,,
Italy,null_A,200,3,0.015,3.0,4.0,6.0,0.8092443762172401,0.8092443762172401,0.8103120936230577
Italy,null_B,200,0,0.0,2.75,4.0,5.0,,,
Turkey,precursor,30,22,0.7333333333333333,28.5,67.5,109.75,1.6859111972694198,1.527933255809013,1.9311580704918594
Turkey,null_A,200,146,0.73,26.0,76.5,125.0,1.9213573592790942,1.665343299066833,2.08848959080623
Turkey,null_B,200,157,0.785,32.0,64.0,108.75,1.8182541795537657,1.5101658933259456,2.041991579797294
