feature,null,is_waveform,macro_auc,ci_lo,ci_hi,perm_z,perm_p,passes_3sigma,passes_bonferroni,per_region_aucs
b,null_A,False,0.7223536737235369,0.36706102117061024,1.0,3.4056486581599446,0.0006600706601573858,False,False,"[0.8, 1.0, nan, 0.36706102117061024]"
b,null_B,False,0.4432541980312681,0.4432541980312681,0.4432541980312681,-0.8744160582961403,0.3818917153909105,False,False,"[nan, nan, nan, 0.4432541980312681]"
b_drift_per_day,null_A,False,0.35119047619047616,0.25,0.4523809523809524,-2.238393194151573,0.025195425468735655,False,False,"[0.25, nan, nan, 0.4523809523809524]"
b_drift_per_day,null_B,False,0.5166040100250626,0.5166040100250626,0.5166040100250626,0.2153790907839926,0.8294717706118562,False,False,"[nan, nan, nan, 0.5166040100250626]"
benioff_total_log10,null_A,False,0.5050812687687687,0.4654027777777777,0.5544097222222222,0.23163335703735455,0.816822796855988,False,False,"[0.5072972972972973, 0.5822222222222222, 0.47097222222222224, 0.4598333333333333]"
benioff_total_log10,null_B,False,0.5308237612612612,0.490375,0.5712725225225225,1.2609565179333242,0.20732451364032123,False,False,"[0.5533783783783783, 0.5891666666666666, 0.4845833333333333, 0.49616666666666664]"
benioff_curv,null_A,False,0.5087456831831831,0.43909722222222225,0.5783941441441441,0.39121130813317834,0.6956410503828918,False,False,"[0.5366216216216216, 0.43041666666666667, 0.4477777777777778, 0.6201666666666666]"
benioff_curv,null_B,False,0.5058070570570571,0.4322222222222222,0.5921875000000001,0.25485235061898726,0.7988371399292706,False,False,"[0.5187837837837838, 0.4156944444444444, 0.44875, 0.64]"
n_above_mc,null_A,False,0.5143271396396396,0.473597972972973,0.5615146396396397,0.22884789414216003,0.8189871402604352,False,False,"[0.4918918918918919, 0.5847222222222223, 0.5131944444444444, 0.4675]"
n_above_mc,null_B,False,0.5412072072072073,0.49699774774774774,0.5888738738738739,1.365224911721785,0.17218237086954935,False,False,"[0.49716216216216214, 0.6194444444444445, 0.5513888888888889, 0.49683333333333335]"
wf_spectral_slope,null_A,True,0.45253998900936854,0.3914641147667769,0.49305106658047837,-1.7137376955539296,0.08657691055445538,False,False,"[0.5, 0.3639503846757733, 0.47220426632191337, 0.47400530503978777]"
wf_spectral_slope,null_B,True,0.4714033504304997,0.410460687960688,0.5235329338836126,-1.024944346232936,0.3053894483901707,False,False,"[0.4845945945945946, 0.3857493857493858, 0.5394311570782159, 0.47583826429980275]"
wf_waveform_entropy,null_A,True,0.45508099112227907,0.38770658631219435,0.5055959253728017,-1.5638460676828303,0.11785372265197935,False,False,"[0.4564864864864865, 0.3526456272570262, 0.4928894634776988, 0.5183023872679046]"
wf_waveform_entropy,null_B,True,0.48393578019143635,0.4184520884520885,0.5494194719307841,-0.4941871356594244,0.6211740241220545,False,False,"[0.46, 0.3769041769041769, 0.5544602456367163, 0.5443786982248521]"
wf_hht_imf1_if_median_hz,null_A,True,0.48550221360059087,0.4617268262957918,0.5071619556913675,-0.5004230485349005,0.6167772275218595,False,False,"[0.4516216216216216, 0.5151515151515151, 0.4831932773109244, 0.4920424403183024]"
wf_hht_imf1_if_median_hz,null_B,True,0.4909505903680112,0.47202440643617116,0.5147107388453542,-0.26988466489698104,0.7872489852006261,False,False,"[0.4737837837837838, 0.4914004914004914, 0.4702650290885585, 0.528353057199211]"
